date,coin,open,high,low,close,volume,avg_sentiment,sentiment_count,sentiment_7d,sentiment_14d,sentiment_30d,log_return,volatility_14d,future_vol_7d,future_vol_14d,future_vol_30d,future_return_7d,future_return_14d,future_return_30d
2025-02-12,ADA,0.7782,0.8079,0.7448,0.7997,271335009.3,0.6966,2.0,0.5403464285714286,0.4313553571428571,0.5703796666666666,,,,0.15610829533721904,0.06767941470670594,0.00487682881080409,0.4192822308365638,-0.1275478304364136
2025-02-14,ADA,0.8107,0.8293,0.7891,0.7998,144880343.5,0.5849,4.0,0.5171035714285714,0.4712767857142857,0.5570063333333334,0.00012503907487367583,,,0.1762045035419157,0.05563539543235857,-0.04713678419604894,0.07251812953238312,-0.14778694673668413
2025-02-15,ADA,0.7997,0.8141,0.7745,0.7811,72649439.8,0.9217,2.0,0.589675,0.4873553571428571,0.5663674444444443,-0.023658513796466333,,,0.17748021868296204,0.04402103059820905,-0.014594802202022694,0.204583279989758,-0.10446805786711044
2025-02-16,ADA,0.7811,0.7893,0.7615,0.7714,62651373.5,-0.7149,2.0,0.4822392857142857,0.4362910714285714,0.5185407777777777,-0.012496136842124247,,,0.18312123327644975,0.050825655658001734,-0.11433756805807616,0.04381643764583876,-0.0027223230490017736
2025-02-17,ADA,0.7714,0.8291,0.7705,0.8089,193681003.3,0.9429,2.0,0.5373107142857142,0.44489107142857137,0.5200841111111111,0.04746825424977952,,,0.18608467738043782,0.0500931526418963,-0.1996538509086413,-0.12856966250463586,-0.038941772777846384
2025-02-18,ADA,0.8089,0.814,0.7351,0.7541,173068755.8,0.6553,2.0,0.505925,0.49892321428571423,0.5121882777777778,-0.07015031481530554,,,0.18537413428194568,0.051004896894533025,-0.14454316403659995,-0.04853467709852799,0.11470627237766884
2025-02-19,ADA,0.7542,0.7761,0.7328,0.7738,118560241.8,0.26995,4.0,0.47949285714285717,0.5182053571428571,0.5339132777777778,0.02578845705781121,,,0.1855141746645705,0.052974100039942136,-0.1479710519514087,-0.0390281726544327,0.04070819333161024
2025-02-20,ADA,0.7737,0.8111,0.7703,0.8036,123013598.3,0.5574,2.0,0.4596071428571428,0.4999767857142857,0.5265499444444445,0.037788190674366624,,0.15610829533721904,0.18557692951822094,0.05298116619425907,0.4123942259830762,-0.12269785963165758,0.016674962667994064
2025-02-21,ADA,0.8036,0.8187,0.7501,0.7621,176129521.6,0.6124,2.0,0.4635357142857143,0.49031964285714286,0.5147432777777777,-0.05302385226870756,,0.1762045035419157,0.18515086568205538,0.052835557577299394,0.12557407164414114,-0.07964834011284605,0.08896470279490876
2025-02-23,ADA,0.7733,0.7883,0.7596,0.7697,68066469.6,-0.886,2.0,0.20529285714285717,0.39748392857142856,0.45253327777777774,0.009923047868200113,,0.17748021868296204,0.18517429750191083,0.04931219256291927,0.22242432116408972,-0.07665324152267128,0.037547096271274505
